NAME	DESCRIPTION	1_1ReadsPerGene.out.tab	1_2ReadsPerGene.out.tab	1_3ReadsPerGene.out.tab	5_1ReadsPerGene.out.tab	5_2ReadsPerGene.out.tab	5_3ReadsPerGene.out.tab
CNAG_07430	na	2311.3500642231	2230.62609867776	2166.953379687	2491.70150941686	2489.29678534952	2046.84988769508
CNAG_06946	na	2722.156423294	2881.98036349046	2710.53885973513	4234.4064617287	4112.66989555491	4776.36875998039
CNAG_06947	na	787.303615625993	702.852259395257	724.076969539837	544.904902655775	596.608320455669	525.307998311796
CNAG_06948	na	2801.60908175167	2875.30469752605	2954.36069641691	1997.32415228008	2069.42666640814	2104.70319147392
CNAG_06949	na	4507.13262523504	5189.85345404205	4702.27827886293	3843.06566800319	3835.87355879178	3751.20821701948
CNAG_07431	na	1647.7397918778	1672.73115736673	1725.75196092949	2264.82292267473	2146.10673267361	1914.94435507935
CNAG_01258	na	2741.11671678958	2377.49074989468	2633.48693732054	2764.15396074475	2801.62778696737	1949.65633734665
CNAG_01257	na	3153.72881809816	3003.0960174161	3108.46454124609	5428.24356663817	4728.91579395661	5546.97476631443
CNAG_12452	na	112.858889854644	133.513319288109	159.381373761684	168.425151729967	197.310902219665	192.072968545723
CNAG_01256	na	297.947469216259	250.814306948375	216.37868623275	160.499262236792	185.154306348311	174.716977412073
CNAG_01255	na	2011.59685276917	2223.95043271335	1981.18436126279	3019.76389689964	3343.06386462228	2464.55074097825
CNAG_01254	na	240.163717610681	226.972642789785	219.545203592254	242.730365728482	242.19679466774	293.894783196468
CNAG_01253	na	1329.02628692828	1432.40718264814	1507.26226312374	1355.32710333291	1358.73336931362	1374.59449778505
CNAG_01252	na	1712.74651243407	1716.59981941854	1421.76629441714	1714.96433908572	1696.31268543352	1615.264241505
CNAG_01251	na	4438.51442020342	4123.65423286987	4194.57999555585	4541.53467958923	4690.57576082388	3859.97242812368
CNAG_01250	na	1710.9407701964	1676.54582363211	1641.3114980094	1194.82784109612	1127.75804775789	976.563767786688
CNAG_01249	na	1271.2425353227	1276.00586576778	1223.33120655491	1561.40023015546	1583.16283155399	1440.54726409292
CNAG_01248	na	1954.71597228243	2052.2904507715	1932.63109508373	1737.7512713786	1678.54535300615	1372.2803656339
CNAG_01247	na	371.080029842068	369.068961174986	276.54251606332	286.322757940944	270.250477447787	399.187796073942
CNAG_01246	na	484.841790815549	533.099610586091	489.754684936566	419.081406951624	435.767205850065	474.397090986424
CNAG_01245	na	1425.63349664386	1399.02885282611	1434.43236385516	1122.5040994709	1202.56786850469	964.993107030921
CNAG_01244	na	7.22296895069719	17.1659981941854	13.7215752245159	28.7313494127591	28.0536827800471	20.8271893603796
CNAG_01243	na	1976.38487913452	1764.28314773572	1840.80209165813	1880.41728225575	2129.27452300558	1496.0864357206
CNAG_01242	na	1703.7178012457	1524.91283958347	1555.8155293028	12454.5446023377	12568.9850082204	10573.2697986194
CNAG_01241	na	1197.20710357806	1316.05986155421	1192.72153874638	1063.05992827209	1007.12721180369	1132.76768798953
CNAG_01240	na	304.267567048119	265.11930544353	305.041172298852	358.646499566165	372.178858215292	362.16168165549
CNAG_01239	na	3215.12405417908	3622.02561897312	3398.72863253393	4852.62584219634	5008.51749899775	4877.03350855556
CNAG_12453	na	30.697618040463	31.4709966893399	43.27573724655	32.6942941593465	35.5346648547264	27.7695858138395
CNAG_07981	na	51.4636537737175	38.1466626537453	31.6651735950366	92.1384653581584	74.8098207467923	96.0364842728615
CNAG_01238	na	2735.69949007656	2595.88039358737	2740.09302175717	3118.83751556433	3233.6545017801	3968.73663922789
CNAG_01237	na	51.4636537737175	49.5906614498689	52.775289325061	106.999508157861	96.3176442114951	80.9946252903651
CNAG_01236	na	3990.6903452602	3906.21825574352	3957.09119359307	2924.65322298154	2769.83361314999	2632.32532193687
CNAG_01235	na	9595.71425100121	8654.52408956847	8879.97018183476	7591.02066208827	7770.87013007306	6709.82617226896
CNAG_01234	na	3187.13504949513	3153.77533489839	2931.13956911389	2702.72831717265	2705.31014275588	2440.25235339114
CNAG_01233	na	232.940748659984	205.991978330225	199.490593648731	208.054599195841	221.624093962372	180.502307789956
CNAG_01232	na	2842.23828209934	2742.74504480429	2665.15211091558	4321.59124615362	4357.67205850065	3754.67941524621
CNAG_01231	na	220.300552996264	244.13864098397	168.880925840195	280.378340821063	238.456303630401	336.706227992803
CNAG_01230	na	9268.87490598216	9470.86267035862	8844.08298509372	41195.8013769633	41668.135033204	43648.0035689777
CNAG_01229	na	1420.21626993083	1234.04453684866	1235.99727599293	6577.49754314853	6488.8168270249	5907.97938189434
CNAG_01228	na	700.627988217627	691.408260599134	753.631131561871	601.376865294647	634.9483535884	661.84179522984
CNAG_07432	na	77.6469162199948	85.829990970927	55.9418066845646	101.05509103798	92.5771531741555	116.863673633241
CNAG_01224	na	59854.9379521899	65031.4768255387	64005.870893434	48676.8503223337	47142.3436663505	56901.0383986326
